location,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
10002 - Métro Charlevoix (Centre / Charlevoix),5640.491839399999,795.43383898,635.020013768,2438.55220072,1,13,4,0,1800.46410928,12.0,5.0,75.0,19.0
4000 - Jeanne-d'Arc / Ontario,0.0,288.65782682400004,545.357816667,1819.94824757,0,18,10,0,1648.83280337,9.0,4.0,83.0,19.0
4001 - Graham / Brookfield,0.0,748.061954321,2414.63614212,2215.79783273,0,5,2,0,981.138604926,15.0,6.0,73.0,23.0
4002 - Graham / Wicksteed,7862.865063510001,1164.29983956,1755.69522447,2096.04568418,0,2,1,0,1243.33145504,5.0,5.0,77.0,19.0
5006 - Collège Édouard-Montpetit (de Gentilly / de Normandie),0.0,0.0,1462.44431869,894.760334595,0,3,3,0,610.1737347609999,0.0,0.0,65.0,27.0
5007 - Métro Longueuil - Université de Sherbrooke,0.0,0.0,1627.18252827,1434.0685291200002,2,2,2,0,109.537555176,1.0,1.0,64.0,11.0
6001 - Métro Champ-de-Mars (Viger / Sanguinet),9933.36426041,494.24422853,1601.3646275,1696.39029191,1,2,1,0,536.774575948,3.0,2.0,94.0,31.0
6002 - Ste-Catherine / Dezery,30383.0659098,1382.8425104700002,803.8256724919999,3172.84857833,0,13,3,0,1822.85254446,7.0,4.0,67.0,19.0
6003 - Clark / Evans,0.0,406.624723561,484.62200726300006,1302.2866636700005,0,17,3,0,594.2857936649998,6.0,4.0,95.0,19.0
6004 - du Champ-de-Mars / Gosford,1667.23938299,387.186347714,407.512004163,1380.1009680700004,1,15,10,0,642.8618219510001,5.0,4.0,89.0,23.0
6005 - Metcalfe / du Square-Dorchester,4774.11849885,0.0,0.0,399.134620342,0,4,6,0,1.32140338239,1.0,1.0,96.0,31.0
6006 - 18e avenue / Rosemont,36750.9449465,935.572904945,998.146263805,2367.88589472,0,2,0,0,2447.17851059,5.0,3.0,61.0,31.0
6007 - de l'Hôtel-de-Ville / Ste-Catherine,0.0,54.563952137600005,91.6761738764,1208.0135789100002,0,9,9,0,649.3561188169999,1.0,7.0,94.0,31.0
6008 - Sanguinet / Ste-Catherine,0.0,0.0,34.9523529066,540.588425279,0,10,8,0,69.6604293756,0.0,0.0,92.0,27.0
6009 - Crescent / de Maisonneuve,0.0,191.769886505,11.9715192208,740.612072667,0,35,33,0,154.873827141,2.0,3.0,98.0,23.0
6011 - St-André / St-Antoine,20525.7680669,46.4921815783,1995.35911425,1892.95629435,0,2,0,0,977.84944734,4.0,2.0,84.0,27.0
