location,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-19,2019-04-20,2019-04-21,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-27,2019-04-28,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-04,2019-05-05,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-11,2019-05-12,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-18,2019-05-19,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-25,2019-05-26,2019-05-27,2019-05-28,2019-05-29,2019-05-30,2019-05-31,2019-06-01,2019-06-02,2019-06-03,2019-06-04,2019-06-05,2019-06-06,2019-06-07,2019-06-08,2019-06-09,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-15,2019-06-16,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-22,2019-06-23,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-06-29,2019-06-30,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-06,2019-07-07,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-13,2019-07-14,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-20,2019-07-21,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-27,2019-07-28,2019-07-29,2019-07-30,2019-07-31,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27
10002 - Métro Charlevoix (Centre / Charlevoix),34.0,63.0,75.0,58.0,25.0,16.0,37.0,,65.0,42.0,78.0,32.0,11.0,34.0,79.0,74.0,74.0,80.0,62.0,69.0,98.0,86.0,95.0,,92.0,51.0,70.0,77.0,97.0,65.0,98.0,,88.0,48.0,62.0,69.0,,,91.0,,59.0,,,95.0,,98.0,95.0,92.0,39.0,97.0,,,,,,,,93.0,,,92.0,57.0,,101.0,87.0,,81.0,78.0,89.0,87.0,,90.0,,,,76.0,99.0,,,,61.0,,,,,,,27.0,99.0,97.0,75.0,,97.0,,,90.0,53.0,72.0,,88.0,,,,,,,,,,,97.0,96.0,,98.0,,,90.0,49.0,,100.0,,,,,73.0,91.0,,,,,,61.0,,,,76.0,,79.0,75.0,84.0,32.0,,,,,37.0,43.0,91.0,,,,,52.0,38.0,,,,,,88.0,73.0,82.0,,,95.0,,37.0,65.0,,68.0,68.0,,95.0,60.0,38.0,71.0,,,,,38.0,37.0,40.0,,84.0,25.0,79.0,45.0,44.0,94.0,77.0,81.0,99.0,81.0,41.0,10.0
4000 - Jeanne-d'Arc / Ontario,15.0,22.0,31.0,17.0,7.0,17.0,20.0,39.0,30.0,11.0,35.0,16.0,19.0,33.0,22.0,33.0,21.0,24.0,19.0,54.0,40.0,54.0,66.0,39.0,48.0,23.0,36.0,35.0,47.0,31.0,49.0,46.0,41.0,42.0,30.0,42.0,47.0,57.0,39.0,61.0,27.0,,44.0,42.0,52.0,50.0,59.0,66.0,31.0,49.0,52.0,51.0,62.0,64.0,54.0,51.0,56.0,50.0,71.0,59.0,44.0,25.0,46.0,47.0,61.0,71.0,35.0,75.0,53.0,63.0,44.0,39.0,68.0,66.0,70.0,49.0,56.0,53.0,69.0,63.0,81.0,55.0,47.0,63.0,62.0,64.0,65.0,42.0,72.0,45.0,50.0,58.0,65.0,66.0,85.0,55.0,32.0,53.0,65.0,73.0,76.0,59.0,73.0,47.0,51.0,66.0,46.0,81.0,60.0,62.0,54.0,69.0,51.0,63.0,64.0,58.0,52.0,45.0,42.0,45.0,70.0,55.0,69.0,50.0,59.0,46.0,55.0,85.0,56.0,62.0,63.0,43.0,,66.0,67.0,32.0,62.0,41.0,52.0,46.0,17.0,51.0,48.0,64.0,60.0,33.0,38.0,52.0,47.0,45.0,56.0,60.0,51.0,45.0,55.0,61.0,53.0,63.0,61.0,51.0,47.0,28.0,49.0,46.0,24.0,,26.0,33.0,56.0,21.0,46.0,44.0,36.0,37.0,30.0,38.0,61.0,37.0,52.0,44.0,30.0,31.0,26.0,35.0,29.0,7.0,37.0,27.0,31.0,45.0,35.0,36.0,23.0,37.0,30.0,4.0
4001 - Graham / Brookfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,6.0,9.0,5.0,5.0,8.0,4.0,,13.0,6.0,9.0,6.0,10.0,5.0,9.0,,8.0,6.0,15.0,17.0,12.0,9.0,17.0,4.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,7.0,4.0,13.0,15.0,8.0,13.0,9.0,10.0,11.0,10.0,8.0,17.0,5.0,11.0,11.0,21.0,16.0,5.0,4.0,7.0,13.0,13.0,10.0,13.0,13.0,10.0,8.0,13.0,14.0,12.0,7.0,5.0,21.0,12.0,20.0,9.0,11.0,11.0,14.0,15.0,13.0,8.0,10.0,4.0,16.0,8.0,7.0,12.0,17.0,7.0,12.0,13.0,10.0,11.0,11.0,14.0,10.0,12.0,12.0,6.0,6.0,7.0,14.0,8.0,10.0,16.0,14.0,,9.0,12.0,9.0,16.0,12.0,17.0,6.0,1.0,12.0,12.0,14.0,12.0,5.0,10.0,10.0,8.0,13.0,9.0,11.0,5.0,15.0,18.0,11.0,15.0,18.0,13.0,12.0,8.0,7.0,9.0,7.0,5.0,,2.0,7.0,9.0,4.0,10.0,11.0,10.0,7.0,4.0,5.0,12.0,10.0,8.0,4.0,2.0,3.0,8.0,11.0,8.0,,7.0,1.0,8.0,8.0,4.0,8.0,9.0,10.0,3.0,
4002 - Graham / Wicksteed,14.0,38.0,46.0,35.0,5.0,7.0,21.0,46.0,60.0,24.0,64.0,19.0,14.0,26.0,59.0,76.0,37.0,51.0,38.0,42.0,37.0,83.0,87.0,75.0,67.0,2.0,,,,1.0,3.0,8.0,12.0,9.0,12.0,11.0,11.0,18.0,8.0,17.0,16.0,,18.0,14.0,21.0,27.0,8.0,13.0,6.0,14.0,23.0,13.0,27.0,25.0,14.0,20.0,9.0,13.0,22.0,23.0,13.0,8.0,11.0,24.0,23.0,21.0,20.0,17.0,15.0,27.0,29.0,23.0,23.0,25.0,18.0,16.0,25.0,25.0,20.0,21.0,16.0,11.0,13.0,22.0,30.0,27.0,26.0,8.0,22.0,30.0,19.0,27.0,17.0,24.0,23.0,9.0,19.0,17.0,16.0,21.0,23.0,27.0,18.0,12.0,20.0,18.0,24.0,13.0,26.0,33.0,22.0,16.0,34.0,21.0,18.0,17.0,21.0,8.0,19.0,11.0,20.0,21.0,20.0,21.0,5.0,10.0,14.0,22.0,13.0,16.0,16.0,11.0,,23.0,27.0,9.0,21.0,17.0,21.0,21.0,7.0,12.0,9.0,24.0,17.0,11.0,19.0,18.0,14.0,18.0,18.0,25.0,4.0,9.0,19.0,19.0,11.0,38.0,20.0,10.0,13.0,8.0,18.0,10.0,11.0,,6.0,14.0,12.0,7.0,10.0,14.0,17.0,9.0,4.0,5.0,7.0,9.0,13.0,11.0,8.0,3.0,5.0,11.0,11.0,4.0,14.0,7.0,5.0,16.0,9.0,12.0,14.0,16.0,14.0,1.0
5006 - Collège Édouard-Montpetit (de Gentilly / de Normandie),2.0,3.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,,1.0,6.0,8.0,4.0,7.0,4.0,8.0,2.0,11.0,8.0,8.0,6.0,1.0,2.0,2.0,6.0,2.0,7.0,6.0,2.0,5.0,1.0,6.0,5.0,6.0,7.0,7.0,5.0,,15.0,5.0,9.0,7.0,8.0,3.0,2.0,11.0,7.0,7.0,7.0,10.0,3.0,6.0,7.0,7.0,9.0,6.0,7.0,5.0,1.0,6.0,8.0,7.0,6.0,7.0,2.0,8.0,5.0,4.0,9.0,8.0,4.0,2.0,5.0,6.0,9.0,7.0,11.0,5.0,9.0,3.0,9.0,8.0,7.0,5.0,5.0,9.0,6.0,3.0,6.0,9.0,4.0,7.0,8.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,7.0,3.0,6.0,6.0,8.0,6.0,4.0,4.0,1.0,4.0,7.0,4.0,1.0,5.0,6.0,5.0,7.0,11.0,8.0,3.0,,6.0,4.0,6.0,10.0,8.0,2.0,,10.0,7.0,,8.0,8.0,4.0,10.0,3.0,7.0,6.0,7.0,5.0,4.0,5.0,8.0,4.0,8.0,6.0,6.0,9.0,5.0,6.0,6.0,8.0,10.0,4.0,3.0,7.0,4.0,9.0,5.0,7.0,,,6.0,7.0,1.0,2.0,6.0,4.0,2.0,1.0,3.0,6.0,3.0,2.0,6.0,4.0,2.0,1.0,3.0,3.0,1.0,,,2.0,5.0,4.0,2.0,3.0,7.0,,1.0
5007 - Métro Longueuil - Université de Sherbrooke,5.0,7.0,13.0,9.0,1.0,,15.0,13.0,16.0,10.0,11.0,3.0,2.0,5.0,10.0,12.0,10.0,14.0,9.0,20.0,22.0,23.0,18.0,21.0,17.0,8.0,14.0,12.0,12.0,5.0,18.0,20.0,19.0,11.0,8.0,13.0,14.0,14.0,13.0,19.0,11.0,,24.0,10.0,16.0,19.0,26.0,9.0,6.0,19.0,17.0,12.0,19.0,30.0,26.0,14.0,20.0,13.0,26.0,10.0,11.0,9.0,18.0,21.0,31.0,25.0,9.0,16.0,19.0,23.0,20.0,13.0,25.0,17.0,21.0,12.0,16.0,23.0,25.0,20.0,20.0,21.0,16.0,25.0,29.0,26.0,19.0,12.0,20.0,20.0,13.0,19.0,21.0,11.0,22.0,15.0,24.0,19.0,14.0,18.0,18.0,14.0,23.0,30.0,22.0,11.0,14.0,13.0,16.0,16.0,22.0,24.0,17.0,12.0,23.0,12.0,14.0,23.0,29.0,6.0,16.0,22.0,26.0,21.0,13.0,17.0,18.0,21.0,15.0,18.0,24.0,23.0,,18.0,16.0,5.0,17.0,17.0,12.0,14.0,9.0,25.0,11.0,17.0,26.0,11.0,10.0,24.0,18.0,22.0,19.0,20.0,14.0,10.0,14.0,23.0,23.0,14.0,23.0,22.0,17.0,10.0,17.0,20.0,20.0,,3.0,18.0,15.0,3.0,19.0,11.0,18.0,6.0,4.0,10.0,22.0,15.0,13.0,18.0,5.0,10.0,3.0,12.0,11.0,1.0,9.0,6.0,9.0,10.0,9.0,13.0,6.0,15.0,7.0,
6001 - Métro Champ-de-Mars (Viger / Sanguinet),15.0,29.0,48.0,22.0,5.0,5.0,21.0,33.0,53.0,22.0,46.0,10.0,5.0,19.0,43.0,43.0,35.0,43.0,25.0,40.0,38.0,49.0,51.0,48.0,41.0,14.0,25.0,35.0,39.0,25.0,55.0,54.0,41.0,46.0,23.0,36.0,42.0,67.0,36.0,60.0,23.0,,74.0,46.0,65.0,66.0,64.0,48.0,24.0,55.0,67.0,59.0,75.0,83.0,51.0,48.0,62.0,62.0,65.0,63.0,42.0,14.0,37.0,55.0,59.0,64.0,40.0,68.0,52.0,53.0,40.0,38.0,55.0,78.0,76.0,43.0,68.0,96.0,68.0,82.0,89.0,74.0,64.0,43.0,66.0,82.0,56.0,43.0,80.0,47.0,52.0,60.0,83.0,80.0,62.0,79.0,37.0,50.0,80.0,79.0,87.0,77.0,97.0,65.0,56.0,76.0,71.0,49.0,77.0,81.0,43.0,55.0,78.0,77.0,66.0,60.0,58.0,54.0,60.0,64.0,70.0,59.0,77.0,82.0,44.0,56.0,60.0,70.0,67.0,79.0,66.0,49.0,,75.0,74.0,25.0,63.0,55.0,62.0,55.0,20.0,54.0,56.0,74.0,57.0,19.0,25.0,74.0,46.0,45.0,74.0,70.0,27.0,31.0,68.0,63.0,74.0,58.0,52.0,38.0,26.0,36.0,53.0,60.0,40.0,,19.0,34.0,52.0,23.0,39.0,43.0,38.0,26.0,11.0,29.0,58.0,45.0,49.0,47.0,14.0,26.0,21.0,46.0,42.0,9.0,44.0,20.0,25.0,50.0,23.0,46.0,46.0,37.0,16.0,2.0
6002 - Ste-Catherine / Dezery,8.0,11.0,24.0,16.0,3.0,7.0,29.0,17.0,33.0,24.0,24.0,15.0,6.0,30.0,20.0,23.0,17.0,27.0,19.0,24.0,43.0,43.0,45.0,46.0,45.0,20.0,31.0,37.0,41.0,22.0,45.0,42.0,40.0,34.0,35.0,35.0,41.0,55.0,42.0,37.0,38.0,,40.0,38.0,34.0,49.0,44.0,46.0,22.0,40.0,35.0,42.0,46.0,50.0,40.0,37.0,47.0,39.0,46.0,44.0,20.0,20.0,42.0,49.0,58.0,65.0,26.0,49.0,48.0,54.0,42.0,42.0,53.0,44.0,50.0,36.0,40.0,63.0,38.0,60.0,50.0,68.0,75.0,51.0,70.0,53.0,42.0,29.0,55.0,50.0,55.0,56.0,51.0,58.0,52.0,36.0,37.0,37.0,45.0,54.0,64.0,60.0,64.0,74.0,53.0,48.0,32.0,51.0,60.0,67.0,48.0,56.0,49.0,59.0,38.0,46.0,53.0,53.0,71.0,46.0,54.0,62.0,53.0,74.0,47.0,48.0,55.0,56.0,36.0,43.0,31.0,37.0,,47.0,48.0,33.0,48.0,56.0,43.0,41.0,27.0,45.0,41.0,59.0,37.0,29.0,40.0,40.0,28.0,32.0,39.0,42.0,27.0,31.0,41.0,37.0,33.0,39.0,44.0,52.0,58.0,30.0,34.0,42.0,36.0,,40.0,54.0,26.0,17.0,42.0,31.0,25.0,30.0,33.0,25.0,18.0,34.0,36.0,30.0,24.0,20.0,15.0,30.0,18.0,4.0,40.0,23.0,33.0,22.0,17.0,28.0,21.0,27.0,19.0,
6003 - Clark / Evans,15.0,35.0,40.0,24.0,8.0,17.0,29.0,30.0,42.0,22.0,44.0,18.0,17.0,14.0,50.0,56.0,41.0,39.0,30.0,28.0,38.0,82.0,84.0,72.0,56.0,36.0,46.0,37.0,49.0,26.0,62.0,64.0,54.0,51.0,44.0,33.0,56.0,69.0,47.0,60.0,48.0,,60.0,45.0,78.0,75.0,95.0,79.0,27.0,57.0,60.0,52.0,81.0,97.0,75.0,55.0,82.0,49.0,96.0,73.0,78.0,34.0,61.0,85.0,77.0,89.0,54.0,85.0,58.0,43.0,41.0,49.0,96.0,84.0,88.0,71.0,91.0,52.0,97.0,,70.0,,91.0,54.0,79.0,81.0,85.0,43.0,83.0,61.0,38.0,73.0,98.0,78.0,94.0,82.0,73.0,56.0,73.0,76.0,89.0,,99.0,71.0,69.0,82.0,74.0,67.0,95.0,78.0,50.0,46.0,75.0,74.0,68.0,78.0,65.0,51.0,51.0,44.0,61.0,76.0,79.0,79.0,32.0,32.0,76.0,84.0,86.0,91.0,69.0,53.0,,86.0,78.0,36.0,77.0,78.0,56.0,54.0,23.0,68.0,67.0,91.0,74.0,38.0,19.0,64.0,46.0,78.0,60.0,58.0,51.0,47.0,74.0,73.0,61.0,70.0,83.0,51.0,40.0,58.0,53.0,61.0,54.0,,25.0,27.0,48.0,28.0,41.0,43.0,46.0,28.0,24.0,33.0,53.0,42.0,42.0,38.0,49.0,32.0,20.0,53.0,46.0,10.0,53.0,28.0,25.0,42.0,34.0,41.0,29.0,44.0,30.0,10.0
6004 - du Champ-de-Mars / Gosford,1.0,13.0,27.0,20.0,3.0,3.0,26.0,23.0,45.0,10.0,28.0,8.0,6.0,13.0,27.0,35.0,26.0,32.0,15.0,29.0,35.0,67.0,51.0,41.0,41.0,13.0,29.0,35.0,34.0,22.0,56.0,51.0,37.0,32.0,28.0,29.0,48.0,48.0,45.0,48.0,40.0,,51.0,50.0,52.0,46.0,51.0,35.0,12.0,49.0,57.0,51.0,54.0,48.0,49.0,25.0,62.0,40.0,65.0,55.0,36.0,21.0,29.0,62.0,53.0,81.0,27.0,52.0,51.0,36.0,42.0,41.0,62.0,56.0,58.0,20.0,34.0,86.0,57.0,61.0,67.0,51.0,47.0,42.0,63.0,66.0,71.0,44.0,51.0,38.0,18.0,62.0,69.0,41.0,65.0,73.0,48.0,19.0,55.0,54.0,68.0,64.0,66.0,43.0,34.0,45.0,47.0,69.0,59.0,69.0,54.0,33.0,47.0,62.0,58.0,45.0,51.0,35.0,30.0,30.0,60.0,68.0,72.0,71.0,36.0,27.0,55.0,44.0,42.0,59.0,63.0,47.0,,60.0,60.0,16.0,66.0,46.0,42.0,44.0,6.0,53.0,48.0,44.0,47.0,22.0,13.0,30.0,29.0,51.0,28.0,58.0,24.0,16.0,50.0,49.0,38.0,42.0,47.0,34.0,18.0,26.0,34.0,45.0,37.0,,19.0,37.0,38.0,8.0,23.0,28.0,24.0,10.0,8.0,21.0,41.0,32.0,24.0,30.0,24.0,14.0,16.0,30.0,27.0,5.0,27.0,11.0,8.0,33.0,20.0,31.0,21.0,21.0,4.0,1.0
