Code,name,latitude,longitude,o_m_peak,o_e_peak,d_m_peak,d_e_peak,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity,area,missing_rate,demand
10002,Métro Charlevoix (Centre / Charlevoix),45.47822787309145,-73.56965124607086,4232.0,5143.0,3605.0,6547.0,5640.491839399999,795.43383898,635.020013768,2438.55220072,1,13,4,0,1800.46410928,12.0,5.0,75.0,19.0,169200.088994,0.029850746268656716,90.42051282051283
4000,Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951262,1614.0,2978.0,1920.0,4120.0,0.0,288.65782682400004,545.357816667,1819.94824757,0,18,10,0,1648.83280337,9.0,4.0,83.0,19.0,122524.685953,0.0,46.92039800995025
4001,Graham / Brookfield,45.52007477080967,-73.62977564334871,374.0,502.0,193.0,716.0,0.0,748.061954321,2414.63614212,2215.79783273,0,5,2,0,981.138604926,15.0,6.0,73.0,23.0,196207.813827,0.1691542288557214,9.67065868263473
4002,Graham / Wicksteed,45.5169365471281,-73.64048302173616,764.0,1079.0,628.0,1581.0,7862.865063510001,1164.29983956,1755.69522447,2096.04568418,0,2,1,0,1243.33145504,5.0,5.0,77.0,19.0,196207.899081,0.014925373134328358,19.272727272727273
5006,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999373,197.0,354.0,174.0,440.0,0.0,0.0,1462.44431869,894.760334595,0,3,3,0,610.1737347609999,0.0,0.0,65.0,27.0,196207.318745,0.03482587064676617,5.27319587628866
5007,Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.5201269388199,352.0,1238.0,653.0,1091.0,0.0,0.0,1627.18252827,1434.0685291200002,2,2,2,0,109.537555176,1.0,1.0,64.0,11.0,196207.329953,0.009950248756218905,15.733668341708542
6001,Métro Champ-de-Mars (Viger / Sanguinet),45.51035067563653,-73.55650842189789,1135.0,4304.0,5947.0,2701.0,9933.36426041,494.24422853,1601.3646275,1696.39029191,1,2,1,0,536.774575948,3.0,2.0,94.0,31.0,108812.623455,0.0,50.18407960199005
6002,Ste-Catherine / Dezery,45.53938508196168,-73.54099988937377,1813.0,2227.0,649.0,4215.0,30383.0659098,1382.8425104700002,803.8256724919999,3172.84857833,0,13,3,0,1822.85254446,7.0,4.0,67.0,19.0,196207.367481,0.004975124378109453,39.225
6003,Clark / Evans,45.51100666600306,-73.56760203838348,2143.0,3628.0,3144.0,4148.0,0.0,406.624723561,484.62200726300006,1302.2866636700005,0,17,3,0,594.2857936649998,6.0,4.0,95.0,19.0,80755.8062874,0.0,57.24875621890547
6004,du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309602,880.0,3354.0,2832.0,2298.0,1667.23938299,387.186347714,407.512004163,1380.1009680700004,1,15,10,0,642.8618219510001,5.0,4.0,89.0,23.0,84500.227897,0.004975124378109453,39.385
